"OriginalAddress1","PermitNum","PermitClass","PermitClassMapped","PermitTypeDesc","Description","HousingUnits","HousingUnitsRemoved","HousingUnitsAdded","AppliedDate","EstProjectCost","IssuedDate","ExpiresDate","StatusCurrent","OriginalCity","OriginalState","OriginalZip","ContractorCompanyName","Link","Latitude","Longitude","Location1"
"822 36TH AVE","6912761-CN","Single Family/Duplex","Residential","New","Establish use as single family residence with attached accessory dwelling unit per land use code.   Construct new two family dwelling  per plan.","2","0","2","2023 Mar 14 12:00:00 AM","1,200,000","2024 Aug 22 12:00:00 AM","2026 Feb 22 12:00:00 AM","Issued","SEATTLE","WA","98122",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6912761-CN","47.61001484","-122.2869137","POINT (-122.2869137 47.61001484)"
"6718 35TH PL NW","6912943-CN","Single Family/Duplex","Residential","New","Construct new DADU  per plan. (Establish use as single family residence and (1) DADU and Construct (2) one- family dwellings  per plan / Review and process for two CN records under 6879844)","1","0","1","2022 Jul 22 12:00:00 AM","189,276","2023 Jan 13 12:00:00 AM","2026 Jan 13 12:00:00 AM","Issued","SEATTLE","WA","98117",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6912943-CN","47.67769968","-122.40304768","POINT (-122.40304768 47.67769968)"
"809 NW 63RD ST","6913298-CN","Single Family/Duplex","Residential","New","Establish use as townhouse and construct a two-family dwelling  per plan.","2","0","2","2022 Sep 20 12:00:00 AM","2,000,000","2025 May 20 12:00:00 AM","2026 Nov 20 12:00:00 AM","Issued","SEATTLE","WA","98107",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6913298-CN","47.67424396","-122.36658383","POINT (-122.36658383 47.67424396)"
"12542 B 37TH AVE NE","6893519-CN","Single Family/Duplex","Residential","New","Construct new DADU detached accessory dwelling unit (east building)  per plan.(Construct (1) new single family dwelling and (1) DADU and processing of (2) records under 6887615-CN)","1","0","1","2022 Apr 13 12:00:00 AM","338,785","2024 Sep 10 12:00:00 AM","2026 Mar 10 12:00:00 AM","Issued","SEATTLE","WA","98125",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6893519-CN","47.72058562","-122.28783225","POINT (-122.28783225 47.72058562)"
"5423 LAKE WASHINGTON BLVD S","6893869-CN","Single Family/Duplex","Residential","New","Construct east one-family dwelling. [Establish use as single-family residence and detached accessory dwelling unit [DADU] and Construct one-family dwellings  per plan. Review and processing for (2) construction records under 6893869-CN.]","2","0","2","2022 Dec 15 12:00:00 AM","1,033,752","2023 Sep 06 12:00:00 AM","2026 Sep 06 12:00:00 AM","Issued","SEATTLE","WA","98118",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6893869-CN","47.5526828","-122.26061504","POINT (-122.26061504 47.5526828)"
"6813 44TH AVE S","6899356-CN","Single Family/Duplex","Residential","New","Construct new two family dwelling (Unit 7 8)  per plan (Establish use as townhouse and construct (2) new two family dwellings and (4) one family dwellings (DADU's)  review and process for 6 CN's under 6874928-CN).","0","0","0","2022 May 12 12:00:00 AM","405,000","2024 Aug 14 12:00:00 AM","2026 Feb 14 12:00:00 AM","Issued","SEATTLE","WA","98118",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6899356-CN","47.54107067","-122.27826729","POINT (-122.27826729 47.54107067)"
"137 23RD AVE E","6863919-CN","Multifamily","Residential","New","Construct multi-family building [SEDUs]  occupy per plan.","31","0","31","2021 Nov 05 12:00:00 AM","1,106,409","2023 Aug 08 12:00:00 AM","2026 Aug 08 12:00:00 AM","Issued","SEATTLE","WA","98112",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6863919-CN","47.620067","-122.30282477","POINT (-122.30282477 47.620067)"
"2317 MINOR AVE E","6896148-CN","Multifamily","Residential","New","Construct New multifamily building   occupy per plan. Mechanical included.","10","0","10","2023 Mar 21 12:00:00 AM","607,097","2023 Dec 19 12:00:00 AM","2026 Dec 19 12:00:00 AM","Issued","SEATTLE","WA","98102",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6896148-CN","47.64026933","-122.32866583","POINT (-122.32866583 47.64026933)"
"1105 33RD AVE S","6865074-CN","Single Family/Duplex","Residential","New","Construct east two-family dwelling. [Establish use as single-family residence with attached accessory dwelling unit [AADU] and detached accessory dwelling unit [DADU] and Construct one- and two-family dwellings  per plan. Review and processing for (2) construction records under 6865074-CN.]","4","0","4","2022 Apr 04 12:00:00 AM","528,082","2025 Apr 15 12:00:00 AM","2026 Oct 15 12:00:00 AM","Issued","SEATTLE","WA","98144",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6865074-CN","47.59324617","-122.29062935","POINT (-122.29062935 47.59324617)"
"755 S HENDERSON ST","6865861-CN","Single Family/Duplex","Residential","New","Construct DADU ""A""  per plans   (Establish use as and construct two single-family residences each with a detached accessory dwelling unit  per plans. Reviews and processing for 4 -CN's under 6845468)","1","0","1","2021 Oct 28 12:00:00 AM","160,301","2023 Jul 10 12:00:00 AM","2026 Jul 10 12:00:00 AM","Issued","SEATTLE","WA","98108",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6865861-CN","47.52290779","-122.32338519","POINT (-122.32338519 47.52290779)"
