"OriginalAddress1","PermitNum","PermitClass","PermitClassMapped","PermitTypeDesc","Description","HousingUnits","HousingUnitsRemoved","HousingUnitsAdded","AppliedDate","EstProjectCost","IssuedDate","ExpiresDate","StatusCurrent","OriginalCity","OriginalState","OriginalZip","ContractorCompanyName","Link","Latitude","Longitude","Location1"
"12020 FREMONT AVE N","6065061-CN","Single Family/Duplex","Residential","New","Establish use and construct single family dwelling & ADU on the lower floor with attached garage per plans.","1","0","1","2007 Jun 22 12:00:00 AM","479,409","2009 Feb 25 12:00:00 AM","2027 Feb 25 12:00:00 AM","Issued","SEATTLE","WA","98133","LOU R LINCOLN","https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6065061-CN","47.71655661","-122.34996421","POINT (-122.34996421 47.71655661)"
"9504 PHINNEY AVE N","6070631-CN","Single Family/Duplex","Residential","New","Demolish existing single family residence. Establish use as single family residence. Construct a one family dwelling with attached garage per plan.","1","0","1","2003 Nov 07 12:00:00 AM","198,744","2005 Aug 26 12:00:00 AM",,"Issued","SEATTLE","WA","98103",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6070631-CN","47.69812273","-122.3537842","POINT (-122.3537842 47.69812273)"
"9708 RENTON AVE S","6079388-CN","Single Family/Duplex","Residential","New","ESTABLISH USE AND OCCUPY AS SINGLE FAMILY RESIDENC NEW CONSTRUCTION OF A 3-STORY + BSMT SINGLE FAMILY WITH ATTACHED GARAGE PER PLAN","0","0","0","2003 Jun 24 12:00:00 AM","225,642","2004 May 19 12:00:00 AM","2026 Nov 18 12:00:00 AM","Issued","SEATTLE","WA","98118",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6079388-CN","47.51400074","-122.26491608","POINT (-122.26491608 47.51400074)"
"3751 SW 100TH ST","6076533-CN","Single Family/Duplex","Residential","New","DEMOLISH EXISTING GARAGE  ESTABLISH USE AS SINGLE FAMILY RESIDENCE  CONSTRUCT NEW ONE FAMILY DWELLING  PER PLANS","1","0","1","2004 Jan 12 12:00:00 AM","101,000","2005 Oct 20 12:00:00 AM","2026 Jun 06 12:00:00 AM","Issued","SEATTLE","WA","98146",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6076533-CN","47.51333138","-122.38133165","POINT (-122.38133165 47.51333138)"
,"6099834-CN","Multifamily","Residential","New","ESTABLISH A STANDARD PLAN FOR BUILDING TYPE #2 FOR THE SYLVAN HEIGHTS DEVELOPMENT PROJECT  4-UNIT & 3-STORY TOWNHOUSE WITH ATTACHED GARAGES  PER PLAN - NO CONSTRUCTION/OCCUPANCY THIS PERMIT.  STRUCTURAL DESIGN IS SPECIFIC TO SYLVAN HEIIGHTS - USE ELSEWHERE REQUIRES ADDITIONAL REVIEW.","0","0","0","2005 May 17 12:00:00 AM","628,598","2006 Jun 23 12:00:00 AM",,"Issued",,,,,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6099834-CN",,,
"5107 48TH AVE S","6128413-CN","Single Family/Duplex","Residential","New","Establish use as single family residence and construct single family residence with attached garage  per plan.","1","0","1","2008 Dec 30 12:00:00 AM","268,910","2009 Mar 23 12:00:00 AM","2026 Mar 23 12:00:00 AM","Issued","SEATTLE","WA","98118",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6128413-CN","47.5558247","-122.27294907","POINT (-122.27294907 47.5558247)"
"737 S ELMGROVE ST","6205595-CN","Commercial","Non-Residential","New","Establish use and construct new office building with on site parking  occupy per plan.","0","0","0","2012 Jun 15 12:00:00 AM","471,595","2013 Oct 18 12:00:00 AM","2027 Apr 18 12:00:00 AM","Issued","SEATTLE","WA","98108",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6205595-CN","47.53033521","-122.32384718","POINT (-122.32384718 47.53033521)"
"1017 CALIFORNIA LN SW","6211046-CN","Single Family/Duplex","Residential","New","Establish use as single family dwelling and construct one family dewlling with attach garage on the EAST (Building A) per plan. (Establish use for 2 single family dwellings and construct 2 0ne-family dwellings with attached garages  per plan.  Review and processing for 2 AP's under 6207150).","1","0","1","2009 Mar 18 12:00:00 AM","509,541","2022 Mar 07 12:00:00 AM","2026 Sep 07 12:00:00 AM","Issued","SEATTLE","WA","98116",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6211046-CN","47.59394344","-122.38733391","POINT (-122.38733391 47.59394344)"
"1019 CALIFORNIA LN SW","6207150-CN","Single Family/Duplex","Residential","New","Establish use as single family dwelling and construct one family dewlling with attach garage on the WEST (Building B) per plan. (Establish use for 2 single family dwellings and construct 2 0ne-family dwellings with attached garages  per plan.  Review and processing for 2 AP's under 6207150).","1","0","1","2009 Mar 18 12:00:00 AM","540,127","2022 Mar 07 12:00:00 AM","2026 Sep 07 12:00:00 AM","Issued","SEATTLE","WA",,,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6207150-CN","47.59385922","-122.38760246","POINT (-122.38760246 47.59385922)"
"4812 S FRONTENAC ST","6260799-CN","Single Family/Duplex","Residential","New","Establish use as and construct new single family residence with attached garage  per plan.","1","0","1","2011 May 03 12:00:00 AM","271,406","2014 Apr 17 12:00:00 AM","2020 Apr 17 12:00:00 AM","Issued","SEATTLE","WA","98118",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6260799-CN","47.53997716","-122.27205593","POINT (-122.27205593 47.53997716)"
"815 W NICKERSON ST","6275519-CN","Multifamily","Residential","New","Construct new South 3 unit townhouse structure with attached garage occupy per plan.(Establish use and construct 2 townhouses  w/attached garages). (Review and process for 2 AP's under #6273944)","3","0","3","2011 Mar 25 12:00:00 AM","735,203","2018 Oct 13 12:00:00 AM","2026 Apr 13 12:00:00 AM","Issued","SEATTLE","WA","98119",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6275519-CN","47.65233921","-122.36824037","POINT (-122.36824037 47.65233921)"
"819 W NICKERSON ST","6278259-CN","Multifamily","Residential","New","Construct new North 3 unit townhouse building with attached garage occupy per plan.(Establish use as and construct 2 new townhouse structure w/attached garage ( Review and process for 2 AP's under 6273948","3","0","3","2011 Mar 25 12:00:00 AM","805,240","2018 Oct 19 12:00:00 AM","2026 Apr 19 12:00:00 AM","Issued","SEATTLE","WA","98119","DAN O'NEILL","https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6278259-CN","47.65262","-122.36846504","POINT (-122.36846504 47.65262)"
"700 5TH AVE","6278993-CN","Single Family/Duplex","Residential","New","To establish standard plan.","0","0","0","2011 Apr 01 12:00:00 AM","229,308","2011 Oct 18 12:00:00 AM",,"Issued","SEATTLE","WA","98104",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6278993-CN","47.60501319","-122.32989532","POINT (-122.32989532 47.60501319)"
"4821 S FONTANELLE ST","6304888-CN","Institutional","Non-Residential","New","Construct new religious facility (Van Hanh Buddhist Temple) and occupy  per plan.","0","0","0","2013 Mar 29 12:00:00 AM","1,019,492","2013 Aug 28 12:00:00 AM","2026 Jan 31 12:00:00 AM","Issued","SEATTLE","WA","98118",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6304888-CN","47.53574399","-122.27173296","POINT (-122.27173296 47.53574399)"
"9714 RAINIER AVE S","6318608-CN","Single Family/Duplex","Residential","New","Establish use as single family residence and construct one family dwelling and accessory pier  per plans.","1","0","1","2013 Jun 17 12:00:00 AM","349,869","2014 Feb 24 12:00:00 AM","2026 Mar 24 12:00:00 AM","Issued","SEATTLE","WA","98118",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6318608-CN","47.51650929","-122.25395965","POINT (-122.25395965 47.51650929)"
"1001 STURGUS AVE S","6334979-CN","Multifamily","Residential","New","Construct new townhouse with surface parking  per plan.","5","0","5","2015 Jul 14 12:00:00 AM","855,474","2016 Oct 18 12:00:00 AM","2019 Oct 18 12:00:00 AM","Issued","SEATTLE","WA","98144",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6334979-CN","47.5936975","-122.31427847","POINT (-122.31427847 47.5936975)"
"1149 N 98TH ST","6357501-CN","Commercial","Non-Residential","New","Grading and construction of parking lot  per plan","0","0","0","2013 Jun 10 12:00:00 AM","50,000","2013 Nov 13 12:00:00 AM","2021 Nov 13 12:00:00 AM","Issued","SEATTLE","WA","98103","SEATTLE CITY LIGHT","https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6357501-CN","47.70030612","-122.3424698","POINT (-122.3424698 47.70030612)"
"7340 27TH AVE NW","6365112-CN","Single Family/Duplex","Residential","New","Establish use and construct single family dwelling and surface parking per plan. Project includes demolition permit.","1","0","1","2013 Sep 26 12:00:00 AM","191,760","2013 Nov 05 12:00:00 AM","2027 May 05 12:00:00 AM","Issued","SEATTLE","WA","98117",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6365112-CN","47.68255628","-122.39050731","POINT (-122.39050731 47.68255628)"
"801 ALASKAN WAY","6315085-PH","Institutional","Non-Residential","New","Phased project: Replace existing wooden dock structure and construct new ferry terminal building (Colman Dock)  and occupy per plan.","0","0","0","2016 Dec 12 12:00:00 AM","11,106,354","2017 Sep 07 12:00:00 AM","2026 Sep 07 12:00:00 AM","Issued","SEATTLE","WA","98104","WASHINGTON ST DOT OLYMPIA","https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6315085-PH","47.60166252","-122.33766757","POINT (-122.33766757 47.60166252)"
"801 1ST AVE N","6380284-CN","Multifamily","Residential","New","Establish use as multi-family residence and construct boarding house building with below grade parking. Occupy per plan.","7","0","7","2014 Sep 24 12:00:00 AM","1,689,038","2019 Jan 28 12:00:00 AM","2026 Jul 28 12:00:00 AM","Issued","SEATTLE","WA","98109",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6380284-CN","47.62654103","-122.3556162","POINT (-122.3556162 47.62654103)"
"11907 LAKESIDE PL NE","6360554-CN","Single Family/Duplex","Residential","New","Establish use as single family residence with attached accessory dwelling unit per land use code. Construct new two-family dwelling and attached garage  per plan.","2","0","2","2017 Jun 16 12:00:00 AM","326,214","2019 May 23 12:00:00 AM","2026 Nov 23 12:00:00 AM","Issued","SEATTLE","WA","98125",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6360554-CN","47.71585912","-122.27956616","POINT (-122.27956616 47.71585912)"
"1400 24TH AVE E","6423772-CN","Single Family/Duplex","Residential","New","Establish use as single-family residence per land use code. Construct new one-family dwelling  per plan.","1","0","1","2017 Feb 15 12:00:00 AM","350,997","2024 Oct 25 12:00:00 AM","2026 Apr 25 12:00:00 AM","Issued","SEATTLE","WA","98112",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6423772-CN","47.63140757","-122.30132702","POINT (-122.30132702 47.63140757)"
"9550 7TH AVE NW","6440684-CN","Single Family/Duplex","Residential","New","Establish use as and construct new single family residence to the west (moved building and convert existing single family residence to detached accessory dwelling unit (DADU) to the east  per plan.","2","0","2","2015 Dec 29 12:00:00 AM","173,952","2016 Jul 25 12:00:00 AM","2027 Jan 25 12:00:00 AM","Issued","SEATTLE","WA","98117",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6440684-CN","47.69954749","-122.3641387","POINT (-122.3641387 47.69954749)"
"7538 43RD AVE S","6435813-CN","Multifamily","Residential","New","Construction of an 8-unit townhouse with attached garages  per plan.","8","0","8","2015 May 01 12:00:00 AM","1,479,655","2016 Oct 18 12:00:00 AM","2019 Oct 18 12:00:00 AM","Issued","SEATTLE","WA","98118",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6435813-CN","47.53407","-122.27869609","POINT (-122.27869609 47.53407)"
"5454 23RD AVE SW","6452639-CN","Single Family/Duplex","Residential","New","Construct North buidling per plans (establish use and construct 2 single family residences  per plans.  Review and process doe 2 A/P's under 6452639)","1","0","1","2015 Jun 04 12:00:00 AM","273,146","2018 Aug 05 12:00:00 AM","2020 Feb 05 12:00:00 AM","Issued","SEATTLE","WA","98106",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6452639-CN","47.55212608","-122.36148604","POINT (-122.36148604 47.55212608)"
"2228 FRANKLIN AVE E","6462342-CN","Multifamily","Residential","New","Construct west two family dwelling  per plans. (Construct 2 townhouse structures  per plans Review and processing for 2 A/P's under 6462342)","2","0","2","2015 Sep 28 12:00:00 AM","338,721","2016 Mar 07 12:00:00 AM","2019 Mar 07 12:00:00 AM","Issued","SEATTLE","WA","98102","CONSTRUCTION CONTRACTORS INC","https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6462342-CN","47.63910861","-122.32440405","POINT (-122.32440405 47.63910861)"
"5907 S FOUNTAIN ST","6456952-CN","Single Family/Duplex","Residential","New","Establish use as and construct a single family residence  per plans","1","0","1","2015 Mar 05 12:00:00 AM","317,945","2018 Oct 17 12:00:00 AM","2020 Apr 17 12:00:00 AM","Issued","SEATTLE","WA","98178",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6456952-CN","47.50272246","-122.25898075","POINT (-122.25898075 47.50272246)"
"5701 S LEO ST","6468849-CN","Single Family/Duplex","Residential","New","Establish use as and construct single family residence with attached garage  per plan.","1","0","1","2016 Feb 02 12:00:00 AM","410,916","2021 Aug 04 12:00:00 AM","2026 Feb 04 12:00:00 AM","Issued","SEATTLE","WA","98178",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6468849-CN","47.50203367","-122.26112037","POINT (-122.26112037 47.50203367)"
"427 9TH AVE N","6471826-CN","Commercial","Non-Residential","New","Shoring and excavation for future construction of a residential and retail building with below grade parking  per plan.","0","0","0","2015 May 19 12:00:00 AM","1,500,000","2017 Dec 29 12:00:00 AM","2027 Jun 29 12:00:00 AM","Issued","SEATTLE","WA","98109",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6471826-CN","47.62287326","-122.34001878","POINT (-122.34001878 47.62287326)"
"747 BROADWAY","6480364-PH","Institutional","Non-Residential","New","Phased project: Remove portion of existing hospital and construct new hospital high-rise  and alterations  including below grade parking  pedestrian walkways & tunnels  to Swedish Medical Center  and occupy per plan  mechanical included.","0","0","0","2016 Jul 25 12:00:00 AM","192,230,798","2023 Sep 12 12:00:00 AM","2026 Sep 12 12:00:00 AM","Issued","SEATTLE","WA","98122","MA Mortenson Company","https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6480364-PH","47.60884785","-122.32194221","POINT (-122.32194221 47.60884785)"
"3850 21ST AVE SW","6480999-CN","Single Family/Duplex","Residential","New","Establish use as rowhouse and construct one duplex  per plan.","2","0","2","2016 Jun 10 12:00:00 AM","494,525","2017 Apr 12 12:00:00 AM","2020 Apr 12 12:00:00 AM","Issued","SEATTLE","WA","98106","OSCAR VILLA","https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6480999-CN","47.568644","-122.3597891","POINT (-122.3597891 47.568644)"
"3202 S DAWSON ST","6400778-CN","Single Family/Duplex","Residential","New","Establish use as and construct single family dwelling with accessory dwelling unit  per plan.","2","0","2","2014 May 13 12:00:00 AM","411,986","2015 Jul 23 12:00:00 AM","2020 Jan 23 12:00:00 AM","Issued","SEATTLE","WA","98118",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6400778-CN","47.55546027","-122.29134112","POINT (-122.29134112 47.55546027)"
"9215 22ND AVE SW","6466977-CN","Single Family/Duplex","Residential","New","Establish use and construct single family dwelling with attached garage per plan.","1","0","1","2016 Feb 03 12:00:00 AM","388,440","2020 Dec 08 12:00:00 AM","2026 Dec 08 12:00:00 AM","Issued","SEATTLE","WA","98106",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6466977-CN","47.52066303","-122.36201276","POINT (-122.36201276 47.52066303)"
"556 S CLOVERDALE ST","6495210-CN","Multifamily","Residential","New","Establish use as rowhouse and construct townhouse structure with attached parking  per plan","7","0","7","2016 Aug 10 12:00:00 AM","983,306","2017 Apr 20 12:00:00 AM","2020 Apr 20 12:00:00 AM","Issued","SEATTLE","WA","98108",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6495210-CN","47.52665584","-122.32586016","POINT (-122.32586016 47.52665584)"
"5013 DELRIDGE WAY SW","6495811-CN","Multifamily","Residential","New","Establish use as and construct a townhouse structure with attached parking  per plan.","5","0","5","2016 Aug 11 12:00:00 AM","843,985","2017 Sep 08 12:00:00 AM","2019 Mar 08 12:00:00 AM","Issued","SEATTLE","WA","98106","CRESTLINE BUILDERS LLC","https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6495811-CN","47.55687754","-122.36334292","POINT (-122.36334292 47.55687754)"
"1200 STEWART ST","6492105-PH","Commercial","Non-Residential","New","Phased project:  Construct west residential tower and retail common base structure  including residential lowrise  with below grade parking  occupy per plan. (Construct mixed-use building with two residential towers above a retail common base structure w/ below grade parking/review & process for 2 records under #6492105-PH).  Mechanical is included.","571","0","571","2016 Dec 30 12:00:00 AM","192,096,624","2019 Apr 30 12:00:00 AM","2026 Oct 30 12:00:00 AM","Issued","SEATTLE","WA","98101","PROJECT STEWART LLC","https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6492105-PH","47.61801358","-122.33200861","POINT (-122.33200861 47.61801358)"
"811 NE 66TH ST","6489640-CN","Multifamily","Residential","New","Establish use as and construct new apartment building and occupy per plan.","20","0","20","2017 Sep 01 12:00:00 AM","1,250,681","2022 Aug 04 12:00:00 AM","2027 Feb 04 12:00:00 AM","Issued","SEATTLE","WA","98115",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6489640-CN","47.67640699","-122.31935667","POINT (-122.31935667 47.67640699)"
"13015 6TH AVE NW","6498606-CN","Single Family/Duplex","Residential","New","Establish use as and construct new single family residence with attached garage  per plan.","1","0","1","2016 Nov 16 12:00:00 AM","585,294","2020 Jun 09 12:00:00 AM","2026 Jun 09 12:00:00 AM","Issued","SEATTLE","WA","98177",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6498606-CN","47.72376919","-122.36394904","POINT (-122.36394904 47.72376919)"
"920 OLIVE WAY","6507024-PH","Multifamily","Residential","New","Phased project:  Construction of residential and retail building above convention center loading dock and occupy  per plan (see also 6501134 and 6550917)","404","0","404","2016 Dec 16 12:00:00 AM","61,548,248","2019 Mar 01 12:00:00 AM","2026 Sep 01 12:00:00 AM","Issued","SEATTLE","WA","98101","Kenneth Wolfe","https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6507024-PH","47.61504364","-122.33235497","POINT (-122.33235497 47.61504364)"
"1600 9TH AVE","6501134-PH","Commercial","Non-Residential","New","Phased project:  Construction of convention center building with below grade parking and occupy  per plan.  Project includes mechanical review. (see also 6507024 and 6550917).","0","0","0","2017 May 26 12:00:00 AM","223,537,945","2018 Oct 12 12:00:00 AM","2026 Apr 12 12:00:00 AM","Issued","SEATTLE","WA","98101",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6501134-PH","47.6141635","-122.33180671","POINT (-122.33180671 47.6141635)"
"10016 WATERS AVE S","6497738-CN","Single Family/Duplex","Residential","New","Establish use and Construct single-family residence  per plan.","1","0","1","2019 Jul 12 12:00:00 AM","591,314","2024 Sep 25 12:00:00 AM","2026 Mar 25 12:00:00 AM","Issued","SEATTLE","WA","98178",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6497738-CN","47.51183634","-122.25163478","POINT (-122.25163478 47.51183634)"
"607 18TH AVE S","6498358-CN","Single Family/Duplex","Residential","New","Establish use as single family residence and construct one family dwelling with accessory dwelling unit  per plans.","2","0","2","2016 Jan 22 12:00:00 AM","541,687","2016 Oct 05 12:00:00 AM","2019 Oct 05 12:00:00 AM","Issued","SEATTLE","WA","98144","COLLABORATIVE CONSTRUCTION LLC","https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6498358-CN","47.59718667","-122.30921324","POINT (-122.30921324 47.59718667)"
"4860 PUGET BLVD SW","6514499-CN","Single Family/Duplex","Residential","New","Establish use as and construct single family residence with attached garage  per plan","1","0","1","2016 Jul 11 12:00:00 AM","328,965","2019 May 10 12:00:00 AM","2022 May 10 12:00:00 AM","Issued","SEATTLE","WA","98106",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6514499-CN","47.55780271","-122.36129916","POINT (-122.36129916 47.55780271)"
"4544 20TH AVE NE","6514933-CN","Multifamily","Residential","New","Establish use as apartment and construct new multifamily building  occupy per plan.","31","0","31","2017 Sep 21 12:00:00 AM","1,097,765","2018 Oct 10 12:00:00 AM","2026 Apr 10 12:00:00 AM","Issued","SEATTLE","WA","98105",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6514933-CN","47.66255649","-122.30624307","POINT (-122.30624307 47.66255649)"
"4320 WHITMAN LN NE","6495141-CN","Institutional","Non-Residential","New","Shoring and Excavation for construction of Student Housing Buildings B  C  and D including new concrete vault and access tunnel connection to UW Campus tunnel system  per plan","0","0","0","2015 Nov 10 12:00:00 AM","4,602,000","2016 Apr 07 12:00:00 AM","2019 Apr 07 12:00:00 AM","Issued","SEATTLE","WA","98195","U OF W BUILDING PERMIT","https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6495141-CN","47.66030758","-122.3045748","POINT (-122.3045748 47.66030758)"
"5936 36TH AVE S","6522703-CN","Multifamily","Residential","New","Establish use as rowhouse and construct new townhouse structure  per plan.","7","0","7","2016 Aug 12 12:00:00 AM","1,001,237","2016 Oct 18 12:00:00 AM","2019 Oct 18 12:00:00 AM","Issued","SEATTLE","WA","98118",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6522703-CN","47.54881181","-122.28796234","POINT (-122.28796234 47.54881181)"
"4870 PUGET BLVD SW","6514475-CN","Single Family/Duplex","Residential","New","Establish use as and construct a single family residence  per plan.","1","0","1","2016 Jul 08 12:00:00 AM","328,583","2019 May 10 12:00:00 AM","2022 May 10 12:00:00 AM","Issued","SEATTLE","WA","98106",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6514475-CN","47.55767921","-122.36080995","POINT (-122.36080995 47.55767921)"
"8060 40TH AVE NE","6515676-CN","Single Family/Duplex","Residential","New","Construct alterations to all levels with new roof for a single family residence  per plans.","0","0","0","2016 Oct 07 12:00:00 AM","519,736","2017 Sep 06 12:00:00 AM","2019 Mar 06 12:00:00 AM","Issued","SEATTLE","WA","98115",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6515676-CN","47.6882535","-122.28500375","POINT (-122.28500375 47.6882535)"
"4872 PUGET BLVD SW","6514464-CN","Single Family/Duplex","Residential","New","Establish use as and construct single family residence  per plan.","0","0","0","2016 Jul 07 12:00:00 AM","328,583","2019 May 10 12:00:00 AM","2022 May 10 12:00:00 AM","Issued","SEATTLE","WA","98106",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6514464-CN","47.55754054","-122.36080893","POINT (-122.36080893 47.55754054)"
"4862 PUGET BLVD SW","6514504-CN","Single Family/Duplex","Residential","New","Establish use as and construct single family residence with attached garage  per plan.","1","0","1","2016 Jul 11 12:00:00 AM","370,275","2019 May 10 12:00:00 AM","2022 May 10 12:00:00 AM","Issued","SEATTLE","WA","98106",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6514504-CN","47.55763491","-122.36130386","POINT (-122.36130386 47.55763491)"
"4031 S WILLOW ST","6519907-CN","Multifamily","Residential","New","Primary: Construct West townhouse (Bldg A)  per plan. (Establish use as rowhouse and construct 2 townhouse structures with attached garages / review and process for 2 AP's under 6519907)","4","0","4","2017 Oct 09 12:00:00 AM","904,085","2020 May 06 12:00:00 AM","2026 May 06 12:00:00 AM","Issued","SEATTLE","WA","98118",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6519907-CN","47.54046991","-122.28140967","POINT (-122.28140967 47.54046991)"
"6917 42ND AVE S","6520217-CN","Single Family/Duplex","Residential","New","Construct South building this permit. [Establish use as rowhouse and construct one 3-unit and one 5-unit townhome structure with attached garages  per plan. Process and routing for (2) A/P's with 6520217.","5","0","5","2017 Oct 06 12:00:00 AM","1,307,422","2020 Apr 29 12:00:00 AM","2026 Apr 29 12:00:00 AM","Issued","SEATTLE","WA","98118",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6520217-CN","47.53990658","-122.28108504","POINT (-122.28108504 47.53990658)"
"10346 MIDVALE AVE N","6523186-CN","Single Family/Duplex","Residential","New","Construct a single family residence and create a Detached Accessory Dwelling Unit from the existing single family residence  per plan.","2","0","2","2016 Jun 09 12:00:00 AM","66,716","2017 Feb 02 12:00:00 AM","2026 Feb 02 12:00:00 AM","Issued","SEATTLE","WA","98133",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6523186-CN","47.70460069","-122.34283804","POINT (-122.34283804 47.70460069)"
"4874 PUGET BLVD SW","6513128-CN","Single Family/Duplex","Residential","New","Establish use as and construct new single family residence on vacant lot  per plan.","1","0","1","2016 Jul 07 12:00:00 AM","330,383","2019 Jun 17 12:00:00 AM","2022 Jun 17 12:00:00 AM","Issued","SEATTLE","WA","98106",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6513128-CN","47.55741419","-122.36080218","POINT (-122.36080218 47.55741419)"
"5026 FAUNTLEROY WAY SW","6536395-CN","Single Family/Duplex","Residential","New","Construct north SFR  per plans (Establish use as and construct 2 single-family residences  per plans. Reviews and processing for 2 A/P's under 6536395)","1","0","1","2017 Oct 17 12:00:00 AM","168,270","2018 Nov 20 12:00:00 AM","2021 Nov 20 12:00:00 AM","Issued","SEATTLE","WA","98136",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6536395-CN","47.55683648","-122.38101038","POINT (-122.38101038 47.55683648)"
"5603 30TH AVE SW","6527379-CN","Single Family/Duplex","Residential","New","Establish use as a single family residence and construct a one family dwelling  per plans. Existing single family residence and detached accessory dwelling unit to remain.","1","0","1","2017 Jan 20 12:00:00 AM","372,399","2024 Mar 19 12:00:00 AM","2027 Mar 19 12:00:00 AM","Issued","SEATTLE","WA","98126",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6527379-CN","47.55181028","-122.37130189","POINT (-122.37130189 47.55181028)"
"2925 E MADISON ST","6541076-CN","Multifamily","Residential","New","Construct new Mixed Use building  occupy per plan.","82","0","82","2018 Mar 20 12:00:00 AM","17,329,929","2023 Oct 11 12:00:00 AM","2026 Oct 11 12:00:00 AM","Issued","SEATTLE","WA","98112","Redhawk Group LLC","https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6541076-CN","47.62470687","-122.29410006","POINT (-122.29410006 47.62470687)"
"2839 MOUNT ST HELENS PL S","6546221-CN","Single Family/Duplex","Residential","New","Establish use as and construct new single family residence on existing foundation  per plan.","1","0","1","2017 Jan 04 12:00:00 AM","537,748","2017 Apr 11 12:00:00 AM","2026 Apr 11 12:00:00 AM","Issued","SEATTLE","WA","98144",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6546221-CN","47.5771645","-122.28660903","POINT (-122.28660903 47.5771645)"
"9856 CALIFORNIA AVE SW","6530891-CN","Multifamily","Residential","New","Construct west townhouse / live-work structure  per plan.  (Establish use as and construct 2 townhouse structures and one townhouse structure with one live-work unit  per plan.  Review & process for 3 APs under permit #6530891)","2","0","2","2017 Sep 24 12:00:00 AM","563,974","2018 Dec 31 12:00:00 AM","2026 Jun 30 12:00:00 AM","Issued","SEATTLE","WA","98136","Chain Construction","https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6530891-CN","47.5139429","-122.38714211","POINT (-122.38714211 47.5139429)"
